id,date_uploaded,uploaded_by,tags,data_source_id,duplicate,citation_status,fulltext_status,data_extraction_status,date_screened_t&a,t&a_screened_by,t&a_status,t&a_exclusion_reasons,type_of_work,title,journal_name,abstract,publication_year,publication_month,authors,keywords,type_of_reference,volume,issue_number,doi,issn,publisher,language,other_fields
3743048,2021-04-08T19:58:50.842806Z,2996,{INCLUDED},1243,not_duplicate,included,not_screened,not_started,2021-04-15T03:53:54.594980Z,4100,included,,,"Experimental removal of the invasive peacock hind (roi) Cephalopholis argus, in Puako, Hawai'i: methods for assesing and managing marine invasive species",,"Invasive species are a growing concern for marine biodiversity, particularly in Hawai'i with its large proportion of endemic species. This research focused on the feasibility of removing the introduced predatory peacock grouper Cephalopholis argus, locally known as roi, as a management tool for Hawaiian coral reef ecosystem restoration. The objectives of this study were to investigate the dynamics of C. argus on 1.3 hectares (ha) of coral reef at Puako, Hawai'i, and to (1) compare population density estimate methods in order to accurately evaluate abundance, (2) estimate population mortality and catchability rates, and (3) quantify the recolonization rates by mapping distribution and movements in response to a depletion experiment. The number of individuals removed during a fishdown experiment provided a direct measure of initial population abundance (20.2 roi ha super(-1)). A Leslie depletion model yielded the most accurate assessment of initial density (-15.8{\%} error) compared to belt transects (+75.7{\%} error) and towboard census (-70.2{\%} error). Estimates of total mortality were low (0.12 to 0.14), and fishing mortality ranged from negligible to 8.0{\%} yr super(-1) in west Hawai'i. Roi movement was monitored through a mark and recapture program. Tagged individuals traveled 50 to 150 m from the periphery toward the center of the removal area (1 roi every 1 to 2 mo). This study engaged the local Hawaiian fishing community in assessing and managing marine invasive fish species, quantified the feasibility of roi removal as an ecosystem management tool, and provides evidence for effective roi population control through spearfishing methods at the local (1.3 ha) patchreef scale.",2014,,{NA},{NA},Journal Article,511,,http://dx.doi.org/10.3354/meps10919,None,NA,NA,"{""url"": ""https://login.proxy.lib.duke.edu/login?url=https://search.proquest.com/docview/1660387379?accountid=10598 http://pm6mt7vg3j.search.serialssolutions.com/directLink?%257B%255C&%257Datitle=Experimental+removal+of+the+invasive+peacock+hind+%257B%255C%2525%257D28roi%257B%255C%252"", ""pages"": ""209"", ""end_page"": ""221"", ""primary_date"": ""2014-01-01 00:00:00"", ""primary_title"": ""Experimental removal of the invasive peacock hind (roi) Cephalopholis argus, in Puako, Hawai'i: methods for assesing and managing marine invasive species"", ""place_published"": ""NA"", ""primary_authors"": ""('NA',)""}"
3743046,2021-04-08T19:58:50.842806Z,2996,{INCLUDED},1243,not_duplicate,included,not_screened,not_started,2021-04-15T03:55:04.636803Z,4100,included,,,Contrasting effects of habitat loss and fragmentation on coral-associated reef fishes,,"Disturbance can result in the fragmentation and/or loss of suitable habitat, both of which can have important consequences for survival, species interactions, and resulting patterns of local diversity. However, effects of habitat loss and fragmentation are typically confounded during disturbance events, and previous attempts to determine their relative significance have proved ineffective. Here we experimentally manipulated live coral habitats to examine the potential independent and interactive effects of habitat loss and fragmentation on survival, abundance, and species richness of recruitment-stage, coral-associated reef fishes. Loss of 75{\%} of live coral from experimental reefs resulted in low survival of a coral-associated damselfish and low abundance and richness of other recruits 16 weeks after habitat manipulations. In contrast, fragmentation had positive effects on damselfish survival and resulted in greater abundance and species richness of other recruits. We hypothesize that spacing of habitat through fragmentation weakens competition within and among species. Comparison of effect sizes over the course of the study period revealed that, in the first six weeks following habitat manipulations, the positive effects of fragmentation were at least four times stronger than the effects of habitat loss. This initial positive effect of fragmentation attenuated considerably after 16 weeks, whereas the negative effects of habitat loss increased in strength over time. There was little indication that the amount of habitat influenced the magnitude of the habitat fragmentation effect. Numerous studies have reported dramatic declines in coral reef fish abundance and diversity in response to disturbances that cause the loss and fragmentation of coral habitats. Our results suggest that these declines occur as a result of habitat loss, not habitat fragmentation. Positive fragmentation effects may actually buffer against the negative effects of habitat loss and contribute to the resistance of reef fish populations to declines in coral cover.",2011,,{NA},{NA},Journal Article,92,,10.1890/10-0627.1,0012-9658,NA,NA,"{""url"": ""%25%7D3CGo to"", ""pages"": ""1503"", ""end_page"": ""1512"", ""primary_date"": ""2011-01-01 00:00:00"", ""primary_title"": ""Contrasting effects of habitat loss and fragmentation on coral-associated reef fishes"", ""place_published"": ""NA"", ""primary_authors"": ""('NA',)""}"
3743052,2021-04-08T19:58:50.842806Z,2996,{INCLUDED},1243,not_duplicate,included,not_screened,not_started,2021-04-15T03:56:51.672605Z,4100,included,,,Context-Dependent Diversity-Effects of Seaweed Consumption on Coral Reefs in Kenya: e0144204,,"Consumers and prey diversity, their interactions, and subsequent effects on ecosystem function are important for ecological processes but not well understood in high diversity ecosystems such as coral reefs. Consequently, we tested the potential for diversity-effects with a series of surveys and experiments evaluating the influence of browsing herbivores on macroalgae in Kenya's fringing reef ecosystem. We surveyed sites and undertook experiments in reefs subject to three levels of human fishing influence: open access fished reefs, small and recently established community-managed marine reserves, and larger, older government-managed marine reserves. Older marine reserves had a greater overall diversity of herbivores and browsers but this was not clearly associated with reduced macroalgal diversity or abundance. Experiments studying succession on hard substrata also found no effects of consumer diversity. Instead, overall browser abundance of either sea urchins or fishes was correlated with declines in macroalgal cover. An exception was that the absence of a key fish browser genus, Naso, which was correlated with the persistence of Sargassum in a marine reserve. Algal selectivity assays showed that macroalgae were consumed at variable rates, a product of strong species-specific feeding and low overlap in the selectivity of browsing fishes. We conclude that the effects of browser and herbivore diversity are less than the influences of key species, whose impacts emerge in different contexts that are influenced by fisheries management. Consequently, identifying key herbivore species and managing to protect them may assist protecting reef functions.",2015,,"{""Humphries, Austin T"",""McClanahan, Tim R"",""McQuaid, Christopher D""}",,journal,10,12,http://dx.doi.org/10.1371/journal.pone.0144204,,,,"{""url"": ""http://pm6mt7vg3j.search.serialssolutions.com/directLink?&atitle=Context-Dependent+Diversity-Effects+of+Seaweed+Consumption+on+Coral+Reefs+in+Kenya%253"", ""primary_date"": ""2015-01-01 00:00:00"", ""primary_title"": ""Context-Dependent Diversity-Effects of Seaweed Consumption on Coral Reefs in Kenya: e0144204"", ""primary_authors"": ""('Humphries, Austin T', 'McClanahan, Tim R', 'McQuaid, Christopher D')""}"
3743050,2021-04-08T19:58:50.842806Z,2996,{INCLUDED},1243,not_duplicate,included,not_screened,not_started,2021-04-15T03:59:34.054068Z,4100,included,,,Marine spatial planning for the future: Using Public Participation GIS (PPGIS) to inform the human dimension for large marine parks,,"Marine protected area (MPA) research continues to be dominated by biophysical interests. However, understanding social data, including people's values and preferences, is critical to both effective planning and management and long-term MPA success. Having these social data in a spatial form is essential, given that MPA planning and management increasingly uses marine spatial planning (MSP) approaches to carefully locate and mediate among potentially competing uses in both space and time. An online Public Participation GIS (PPGIS) survey was used to collect spatially explicit information on stakeholder values and management preferences for Australia's remote Kimberley region. The Kimberley coast and marine environment is characterised by a multiplicity of values and preferences. Key values included biological conservation, aesthetics, recreational fishing, Aboriginal culture and heritage, and nature based tourism. Management preferences were dominated by the desire to increase conservation/protection, exclude oil/gas development and commercial fishing, and to increase Aboriginal management. The diversity of values and preferences present suggests potential for conflict over management and permitted uses. Significant associations between value and preference distribution and the Kimberley's five marine protected areas were analysed. Accessibility and respondent familiarity appear linked to value attribution. More accessible MPAs were significantly associated with recreation values while more remote MPAs were characterised by a conservation ethos and general aversion to development. Our research demonstrates that PPGIS enables documentation of spatially explicit social data across large scales, highlighting potential synergies and conflicts in values and permitted uses, in a manner that can readily integrate with ecologically based marine spatial planning processes. (C) 2016 Elsevier Ltd. All rights reserved.",2016,,"{""Brown, Greg"",""Kobryn, Halina"",""Moore, Susan A"",""Strickland-Munro, Jennifer""}",,journal,73,,10.1016/j.marpol.2016.07.011,,,,"{""url"": ""to"", ""pages"": ""15"", ""end_page"": ""26"", ""primary_date"": ""2016-01-01 00:00:00"", ""primary_title"": ""Marine spatial planning for the future: Using Public Participation GIS (PPGIS) to inform the human dimension for large marine parks"", ""primary_authors"": ""('Brown, Greg', 'Kobryn, Halina', 'Moore, Susan A', 'Strickland-Munro, Jennifer')""}"
3743047,2021-04-08T19:58:50.842806Z,2996,{INCLUDED},1243,not_duplicate,included,not_screened,not_started,2021-04-15T04:00:11.169711Z,4100,included,,,"An Assessment of Social, Economic and Cultural Sustainability in the Management of Local Marine Conservation Area (KKLD) of Mayalibit Bay, Raja Ampat, West Papua, Indonesia",,"Marine conservation area is established to protect coastal and marine resources from water pollution, climate change, and over-exploitation. This research aimed to assess social, economic, and cultural sustainability, and fishermen individual characteristics as part of the fishery extension system in the management of local marine conservation area (KKLD) of Mayalibit Bay in Raja Ampat Regency, West Papua. Since the establishment of KKLD in Mayalibit Bay, patrols and monitoring activities have not been optimally performed. The area was purposively selected because the local marine conservation area of Mayalibit Bay is under the management the TPPKD with sea and terrestrial accessibilities from Waisai, the capital city of the regency. The research applied index evaluation and sustainability status data analysis using a Rap-FISHEXCOME technique. There were three major stages of data analysis: (1) determination of attributes of fishery extension dimensions; (2) evaluation of each attribute at an ordinal scale according to the sustainability criteria of each attribute; and (3) sustainability index ordination analysis using the MDS method. The social, economic, and cultural dimension indices with 10 attributes resulted in 53.57 sensitive attributes and the local fishermen personal characteristics with 14 attributes resulted in 64.84 sensitive attributes. These results proved a fairly sustainable status.",2017,,{NA},{NA},Journal Article,23,,10.1166/asl.2017.8664,1936-6612,NA,NA,"{""url"": ""%25%7D3CGo to"", ""pages"": ""2410"", ""end_page"": ""2412"", ""primary_date"": ""2017-01-01 00:00:00"", ""primary_title"": ""An Assessment of Social, Economic and Cultural Sustainability in the Management of Local Marine Conservation Area (KKLD) of Mayalibit Bay, Raja Ampat, West Papua, Indonesia"", ""place_published"": ""NA"", ""primary_authors"": ""('NA',)""}"
3743053,2021-04-08T19:58:50.842806Z,2996,{INCLUDED},1243,not_duplicate,included,not_screened,not_started,2021-04-15T04:01:57.987066Z,4100,included,,,Regional restoration benchmarks for Acropora cervicornis,,"Coral gardening plays an important role in the recovery of depleted populations of threatened Acropora cervicornis in the Caribbean. Over the past decade, high survival coupled with fast growth of in situ nursery corals have allowed practitioners to create healthy and genotypically diverse nursery stocks. Currently, thousands of corals are propagated and outplanted onto degraded reefs on a yearly basis, representing a substantial increase in the abundance, biomass, and overall footprint of A. cervicornis. Here, we combined an extensive dataset collected by restoration practitioners to document early (1-2 yr) restoration success metrics in Florida and Puerto Rico, USA. By reporting region-specific data on the impacts of fragment collection on donor colonies, survivorship and productivity of nursery corals, and survivorship and productivity of outplanted corals during normal conditions, we provide the basis for a stop-light indicator framework for new or existing restoration programs to evaluate their performance. We show that current restoration methods are very effective, that no excess damage is caused to donor colonies, and that once outplanted, corals behave just as wild colonies. We also provide science-based benchmarks that can be used by programs to evaluate successes and challenges of their efforts, and to make modifications where needed. We propose that up to 10% of the biomass can be collected from healthy, large A. cervicornis donor colonies for nursery propagation. We also propose the following benchmarks for the first year of activities for A. cervicornis restoration: (1) >75% live tissue cover on donor colonies; (2) >80% survivorship of nursery corals; and (3) >70% survivorship of outplanted corals. Finally, we report productivity means of 4.4 cm yr(-1) for nursery corals and 4.8 cm yr(-1) for outplants as a frame of reference for ranking performance within programs. Such benchmarks, and potential subsequent adaptive actions, are needed to fully assess the long-term success of coral restoration and species recovery programs.",2017,,"{""Bartels, Erich"",""Gilliam, David S"",""Goergen, Elizabeth A"",""Griffin, Sean P"",""Johnson, Meaghan E"",""Lirman, Diego"",""Lustic, Caitlin"",""Maxwell, Kerry"",""Schopmeyer, Stephanie A"",""Walter, Cory S""}",,journal,36,4,10.1007/s00338-017-1596-3,,,,"{""url"": ""to"", ""pages"": ""1047"", ""end_page"": ""1057"", ""primary_date"": ""2017-01-01 00:00:00"", ""primary_title"": ""Regional restoration benchmarks for Acropora cervicornis"", ""primary_authors"": ""('Bartels, Erich', 'Gilliam, David S', 'Goergen, Elizabeth A', 'Griffin, Sean P', 'Johnson, Meaghan E', 'Lirman, Diego', 'Lustic, Caitlin', 'Maxwell, Kerry', 'Schopmeyer, Stephanie A', 'Walter, Cory S')""}"
3743051,2021-04-08T19:58:50.842806Z,2996,{INCLUDED},1243,not_duplicate,included,not_screened,not_started,2021-04-15T04:27:02.555743Z,4100,included,,,Spillover Effects of a Community-Managed Marine Reserve,,"The value of no-take marine reserves as fisheries-management tools is controversial, particularly in high-poverty areas where human populations depend heavily on fish as a source of protein. Spillover, the net export of adult fish, is one mechanism by which no-take marine reserves may have a positive influence on adjacent fisheries. Spillover can contribute to poverty alleviation, although its effect is modulated by the number of fishermen and fishing intensity. In this study, we quantify the effects of a community-managed marine reserve in a high poverty area of Northern Mozambique. For this purpose, underwater visual censuses of reef fish were undertaken at three different times: 3 years before (2003), at the time of establishment (2006) and 6 years after the marine reserve establishment (2012). The survey locations were chosen inside, outside and on the border of the marine reserve. Benthic cover composition was quantified at the same sites in 2006 and 2012. After the reserve establishment, fish sizes were also estimated. Regression tree models show that the distance from the border and the time after reserve establishment were the variables with the strongest effect on fish abundance. The extent and direction of the spillover depends on trophic group and fish size. Poisson Generalized Linear Models show that, prior to the reserve establishment, the survey sites did not differ but, after 6 years, the abundance of all fish inside the reserve has increased and caused spillover of herbivorous fish. Spillover was detected 1 km beyond the limit of the reserve for small herbivorous fishes. Six years after the establishment of a community-managed reserve, the fish assemblages have changed dramatically inside the reserve, and spillover is benefitting fish assemblages outside the reserve.",2015,,{NA},{NA},Journal Article,10,,10.1371/journal.pone.0111774,1932-6203,NA,NA,"{""url"": ""%25%7D3CGo to"", ""primary_date"": ""2015-01-01 00:00:00"", ""primary_title"": ""Spillover Effects of a Community-Managed Marine Reserve"", ""place_published"": ""NA"", ""primary_authors"": ""('NA',)""}"
3743049,2021-04-08T19:58:50.842806Z,2996,{INCLUDED},1243,not_duplicate,included,not_screened,not_started,2021-04-15T05:03:15.134453Z,4100,included,,,Monitoring of fish and fish catches by local fishermen in Kenya and Tanzania,,"Monitoring of fish populations underwater and of fish catches is being undertaken at several sites in Kenya and Tanzania using local names and languages. This paper describes the programmes underway at Kiunga Marine Reserve and Diani-Chale in Kenya, and at Tanga in Tanzania. At all three sites, standard protocols have been adapted for use by local fishermen, who have been trained to collect data. A key factor enabling this has been to use local knowledge as the foundation of monitoring. The paper discusses some of the difficulties encountered, such as variations in the use of names, and generally low literacy among fishermen. Overall, the benefits far outweigh the disadvantages in terms of developing a much greater sense of involvement in, and participation by, the fishing communities in the management of their resources. The programmes are also providing the fishermen with a deeper understanding of the impact of fishing on their resources and thus will help them to apply appropriate management approaches.",2002,,{NA},{NA},Journal Article,53,,10.1071/mf01151,1323-1650,NA,NA,"{""url"": ""%25%7D3CGo to"", ""pages"": ""215"", ""end_page"": ""222"", ""primary_date"": ""2002-01-01 00:00:00"", ""primary_title"": ""Monitoring of fish and fish catches by local fishermen in Kenya and Tanzania"", ""place_published"": ""NA"", ""primary_authors"": ""('NA',)""}"
3743061,2021-04-08T19:59:09.541649Z,2996,{},1244,not_duplicate,excluded,not_screened,not_started,2021-04-15T03:54:11.510071Z,4100,excluded,{Population},,Issues for seagrass conservation management in Queensland,,"Coastal, reef-associated and deepwater ({\textgreater} 15 m) seagrass habitats form a large and ecologically important community on the Queensland continental shelf. Broad-scale resource inventories of coastal seagrasses were completed in the 1980s and were used in marine park and fisheries zoning to protect some seagrasses. At least eleven of the fifteen known species in the region reach their latitudinal limits of distribution in Queensland and at least two Halophila species may be endemic to Queensland or northeastern Australia. The importance of seagrasses to Dugongs Dugong dugon, Green Turtles Chelonia mydas and commercially valuable prawn fisheries, will continue to strongly influence directions in seagrass research and conservation management in Queensland. Widespread loss of seagrasses following natural cyclone and flood events in some locations has had serious consequences to regional populations of Dugong. However, the impacts to Queensland fisheries are little studied. Agricultural land use practices may exacerbate the effects of natural catastrophic events, but the long-term impacts of nutrients, pesticides and sediment loads on Queensland seagrasses are also unknown. Most areas studied are nutrient limited and human impacts on seagrasses in Queensland are low to moderate, and could include increases in habitat since modern settlement. Most impacts are in southern, populated localities where shelter and water conditions ideal for productive seagrass habitat are often targets for port development, and are at the downstream end of heavily modified catchments. For Queensland to avoid losses experienced by other states, incremental increases in impacts associated with population and development pressure must be managed. Seagrass areas receive priority consideration in oil spill management within the Great Barrier Reef and coastal ports. Present fisheries legislation for marine plant protection, marine parks and area closures to trawl fishing help protect inshore seagrass prawn nursery and Dugong feeding habitat, but seagrasses in deep water do not yet receive any special zoning protection. Efficacy of the various Local, State and Commonwealth Acts and planning programmes for seagrass conservation is limited by the expanse and remoteness of Queensland's northern coast, but is improving through broad-based education programmes. Institutional support is sought to enable community groups to augment limited research and monitoring programmes with local 'habitat watch' programmes. Research is helping to describe the responses of seagrass to natural and human impacts and to determine acceptable levels of changes in seagrass meadows and water quality conditions that may cause those changes. The management of loss and regeneration of seagrass is benefiting from new information collected on life histories and mechanisms of natural recovery in Queensland species. Maintenance of Queensland's seagrasses systems will depend on improved community awareness, regional and long-term planning and active changes in coastal land use to contain overall downstream impacts and stresses.",1999,,{NA},{NA},Journal Article,5,,NA,10382097,NA,NA,"{""url"": ""https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033286252%7B%5C&%7DpartnerID=40%7B%5C&%7Dmd5=7516158f76972876fb6e1765da27489c"", ""pages"": ""321"", ""end_page"": ""328"", ""primary_date"": ""1999-01-01 00:00:00"", ""primary_title"": ""Issues for seagrass conservation management in Queensland"", ""place_published"": ""NA"", ""primary_authors"": ""('NA',)""}"
3743056,2021-04-08T19:59:09.541649Z,2996,{},1244,not_duplicate,excluded,not_screened,not_started,2021-04-15T04:06:52.244370Z,4100,excluded,{Population},,"Medicinal uses of plants by the inhabitants of Khunjerab national park, Gilgit, Pakistan",,"Like many other mountain communities, people living in the peripheries of Khunjerab National Park (KNP) have been using plant resources for food, medicine, shelter, fuel and other purposes since long. The present study was carried out to record the most common medicinal and aromatic plants (MAPs) and their traditional uses by the local inhabitants from the study area. A total of 43 plant species belonging to 40 genera and 28 families were recorded from Dhee, Barkhun, Shimshal and Khunjerab pastures during field visits conducted in 2006-2008, which are being used by the people of the area for the preparation of herbal recipes. In all, Asteraceae family contributed the highest number of species (11.63{\%}), followed by Fabaceae, Lamiaceae and Rosaceae (9.30{\%} each), Chenopodiaceae and Elaeagnaceae (4.65{\%} each). Twenty nine diseases were treated by the reported species. Maximum number of species were employed for treating fever (9 spp.), followed by cough, in digestion (5 spp. each), wounds, eye infection, abdominal pain, jaundice, blood pressure and diarrhea (4 spp. each). The study area is a fragile ecosystem which is rapidly degrading due to excessive grazing and over exploitation by the inhabitants for their customary needs. In order to protect the dwindling floral resources and their classical uses, concrete conservation measures i.e., education and awareness, integration of traditional knowledge with modern healthcare and ex situ conservation of threatened species, supporting local livelihoods and rural economy is inevitable.",2011,,{NA},{NA},NA,43,,NA,NA,NA,NA,"{""url"": ""http://www.scopus.com/inward/record.url?eid=2-s2.0-80054738977%7B%5C&%7DpartnerID=40%7B%5C&%7Dmd5=56352c3b577ad169a7b2b946d09785cf"", ""pages"": ""2301"", ""end_page"": ""2310"", ""primary_date"": ""2011-01-01 00:00:00"", ""primary_title"": ""Medicinal uses of plants by the inhabitants of Khunjerab national park, Gilgit, Pakistan"", ""place_published"": ""Xinjiang Institute of Ecology and Geography, Chinese Academy of Sciences, Urumqi 83001, China World Wide Fund for Nature, Pakistan, Gilgit, Northern Areas, Pakistan Department of Botany, Pir Mehr Ali Shah Arid Agriculture University, Murree Road, Rawalpin"", ""primary_authors"": ""('NA',)""}"
